AREA,ST,STATE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE
01,AL,Alabama,00-0000,All Occupations,total,1809420,0.4
01,AL,Alabama,11-0000,Management Occupations,major,66050,1.0
01,AL,Alabama,11-1011,Chief Executives,,1530,8.9
01,AL,Alabama,11-1021,General and Operations Managers,,28220,1.4
01,AL,Alabama,11-1031,Legislators,,1140,5.4
01,AL,Alabama,11-2011,Advertising and Promotions Managers,,120,11.5
01,AL,Alabama,11-2021,Marketing Managers,,620,8.9
01,AL,Alabama,11-2022,Sales Managers,,2270,4.6
01,AL,Alabama,11-2031,Public Relations and Fundraising Managers,,560,7.9
01,AL,Alabama,11-3011,Administrative Services Managers,,910,5.1
01,AL,Alabama,11-3021,Computer and Information Systems Managers,,2480,4.8
01,AL,Alabama,11-3031,Financial Managers,,4180,2.9
01,AL,Alabama,11-3051,Industrial Production Managers,,2360,3.2
01,AL,Alabama,11-3061,Purchasing Managers,,930,3.9
01,AL,Alabama,11-3071,"Transportation, Storage, and Distribution Managers",,860,4.7
01,AL,Alabama,11-3111,Compensation and Benefits Managers,,130,5.0
01,AL,Alabama,11-3121,Human Resources Managers,,760,2.8
01,AL,Alabama,11-3131,Training and Development Managers,,140,7.5
01,AL,Alabama,11-9021,Construction Managers,,1830,5.9
01,AL,Alabama,11-9031,"Education Administrators, Preschool and Childcare Center/Program",,340,28.0
01,AL,Alabama,11-9032,"Education Administrators, Elementary and Secondary School",,2980,4.6
01,AL,Alabama,11-9033,"Education Administrators, Postsecondary",,1920,4.9
01,AL,Alabama,11-9039,"Education Administrators, All Other",,470,4.2
01,AL,Alabama,11-9041,Architectural and Engineering Managers,,2530,2.4
01,AL,Alabama,11-9051,Food Service Managers,,2010,10.5
01,AL,Alabama,11-9081,Lodging Managers,,510,9.3
01,AL,Alabama,11-9111,Medical and Health Services Managers,,2140,3.3
01,AL,Alabama,11-9121,Natural Sciences Managers,,190,10.9
01,AL,Alabama,11-9131,Postmasters and Mail Superintendents,,480,0.0
01,AL,Alabama,11-9141,"Property, Real Estate, and Community Association Managers",,410,11.7
01,AL,Alabama,11-9151,Social and Community Service Managers,,810,5.7
01,AL,Alabama,11-9161,Emergency Management Directors,,170,2.5
01,AL,Alabama,11-9199,"Managers, All Other",,2000,4.7
01,AL,Alabama,13-0000,Business and Financial Operations Occupations,major,63340,1.1
01,AL,Alabama,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",,100,35.0
01,AL,Alabama,13-1021,"Buyers and Purchasing Agents, Farm Products",,190,17.7
01,AL,Alabama,13-1022,"Wholesale and Retail Buyers, Except Farm Products",,840,14.2
01,AL,Alabama,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",,5300,2.4
01,AL,Alabama,13-1031,"Claims Adjusters, Examiners, and Investigators",,3270,5.0
01,AL,Alabama,13-1032,"Insurance Appraisers, Auto Damage",,620,3.6
01,AL,Alabama,13-1041,Compliance Officers,,1610,2.7
01,AL,Alabama,13-1051,Cost Estimators,,2520,5.1
01,AL,Alabama,13-1078,"Human Resources, Training, and Labor Relations Specialists, All Other*",,4830,2.9
01,AL,Alabama,13-1081,Logisticians,,3730,4.0
01,AL,Alabama,13-1111,Management Analysts,,4200,4.1
01,AL,Alabama,13-1121,"Meeting, Convention, and Event Planners*",,340,9.2
01,AL,Alabama,13-1141,"Compensation, Benefits, and Job Analysis Specialists",,670,4.2
01,AL,Alabama,13-1151,Training and Development Specialists,,2330,4.9
01,AL,Alabama,13-1161,Market Research Analysts and Marketing Specialists*,,1730,6.0
01,AL,Alabama,13-1199,"Business Operations Specialists, All Other*",,6430,2.0
01,AL,Alabama,13-2011,Accountants and Auditors,,14090,2.0
01,AL,Alabama,13-2021,Appraisers and Assessors of Real Estate,,750,9.8
01,AL,Alabama,13-2031,Budget Analysts,,950,5.3
01,AL,Alabama,13-2041,Credit Analysts,,600,11.8
01,AL,Alabama,13-2051,Financial Analysts,,600,7.1
01,AL,Alabama,13-2052,Personal Financial Advisors,,930,10.8
01,AL,Alabama,13-2053,Insurance Underwriters,,850,6.5
01,AL,Alabama,13-2061,Financial Examiners,,240,3.7
01,AL,Alabama,13-2071,Credit Counselors,,260,11.4
01,AL,Alabama,13-2072,Loan Officers,,3310,5.3
01,AL,Alabama,13-2081,"Tax Examiners and Collectors, and Revenue Agents",,940,0.8
01,AL,Alabama,13-2082,Tax Preparers,,460,14.5
01,AL,Alabama,13-2099,"Financial Specialists, All Other",,640,7.9
01,AL,Alabama,15-0000,Computer and Mathematical Occupations,major,36860,2.5
01,AL,Alabama,15-1111,Computer and Information Research Scientists,,530,5.4
01,AL,Alabama,15-1121,Computer Systems Analysts,,5660,9.2
01,AL,Alabama,15-1131,Computer Programmers,,4080,7.7
01,AL,Alabama,15-1132,"Software Developers, Applications",,3810,6.4
01,AL,Alabama,15-1133,"Software Developers, Systems Software",,3720,5.5
01,AL,Alabama,15-1141,Database Administrators,,1380,4.8
01,AL,Alabama,15-1142,Network and Computer Systems Administrators*,,4800,3.6
01,AL,Alabama,15-1150,Computer Support Specialists,,7990,4.5
01,AL,Alabama,15-1179,"Information Security Analysts, Web Developers, and Computer Network Architects",,1840,6.7
01,AL,Alabama,15-1799,"Computer Occupations, All Other*",,1860,2.9
01,AL,Alabama,15-2011,Actuaries,,40,14.6
01,AL,Alabama,15-2021,Mathematicians,,110,7.9
01,AL,Alabama,15-2031,Operations Research Analysts,,800,8.4
01,AL,Alabama,15-2041,Statisticians,,240,5.1
01,AL,Alabama,17-0000,Architecture and Engineering Occupations,major,39060,1.4
01,AL,Alabama,17-1011,"Architects, Except Landscape and Naval",,800,6.0
01,AL,Alabama,17-1012,Landscape Architects,,0,0
01,AL,Alabama,17-1021,Cartographers and Photogrammetrists,,550,2.6
01,AL,Alabama,17-1022,Surveyors,,560,8.3
01,AL,Alabama,17-2011,Aerospace Engineers,,3020,5.2
01,AL,Alabama,17-2041,Chemical Engineers,,390,11.9
01,AL,Alabama,17-2051,Civil Engineers,,3430,4.2
01,AL,Alabama,17-2061,Computer Hardware Engineers,,1260,5.0
01,AL,Alabama,17-2071,Electrical Engineers,,4220,4.7
01,AL,Alabama,17-2072,"Electronics Engineers, Except Computer",,1700,5.7
01,AL,Alabama,17-2081,Environmental Engineers,,990,9.7
01,AL,Alabama,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",,440,7.9
01,AL,Alabama,17-2112,Industrial Engineers,,3450,2.7
01,AL,Alabama,17-2121,Marine Engineers and Naval Architects,,60,18.3
01,AL,Alabama,17-2131,Materials Engineers,,450,4.8
01,AL,Alabama,17-2141,Mechanical Engineers,,3090,6.6
01,AL,Alabama,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",,170,17.1
01,AL,Alabama,17-2171,Petroleum Engineers,,130,48.2
01,AL,Alabama,17-2199,"Engineers, All Other",,3590,3.0
01,AL,Alabama,17-3011,Architectural and Civil Drafters,,1140,7.2
01,AL,Alabama,17-3012,Electrical and Electronics Drafters,,420,8.2
01,AL,Alabama,17-3013,Mechanical Drafters,,760,10.8
01,AL,Alabama,17-3019,"Drafters, All Other",,310,14.2
01,AL,Alabama,17-3021,Aerospace Engineering and Operations Technicians,,180,21.2
01,AL,Alabama,17-3022,Civil Engineering Technicians,,1500,4.1
01,AL,Alabama,17-3023,Electrical and Electronics Engineering Technicians,,2000,9.9
01,AL,Alabama,17-3024,Electro-Mechanical Technicians,,60,15.3
01,AL,Alabama,17-3025,Environmental Engineering Technicians,,550,16.8
01,AL,Alabama,17-3026,Industrial Engineering Technicians,,920,5.3
01,AL,Alabama,17-3027,Mechanical Engineering Technicians,,530,14.0
01,AL,Alabama,17-3029,"Engineering Technicians, Except Drafters, All Other",,980,5.7
01,AL,Alabama,17-3031,Surveying and Mapping Technicians,,990,6.5
01,AL,Alabama,19-0000,"Life, Physical, and Social Science Occupations",major,9120,3.6
01,AL,Alabama,19-1013,Soil and Plant Scientists,,90,2.2
01,AL,Alabama,19-1022,Microbiologists,,170,6.9
01,AL,Alabama,19-1029,"Biological Scientists, All Other",,210,4.7
01,AL,Alabama,19-1031,Conservation Scientists,,110,0.5
01,AL,Alabama,19-1032,Foresters,,230,12.6
01,AL,Alabama,19-1041,Epidemiologists,,40,0.0
01,AL,Alabama,19-1042,"Medical Scientists, Except Epidemiologists",,150,7.9
01,AL,Alabama,19-2012,Physicists,,170,5.5
01,AL,Alabama,19-2021,Atmospheric and Space Scientists,,160,17.5
01,AL,Alabama,19-2031,Chemists,,630,9.6
01,AL,Alabama,19-2032,Materials Scientists,,60,21.3
01,AL,Alabama,19-2041,"Environmental Scientists and Specialists, Including Health",,1010,4.4
01,AL,Alabama,19-2042,"Geoscientists, Except Hydrologists and Geographers",,260,14.9
01,AL,Alabama,19-3011,Economists,,60,20.0
01,AL,Alabama,19-3022,Survey Researchers,,160,25.4
01,AL,Alabama,19-3031,"Clinical, Counseling, and School Psychologists",,630,14.9
01,AL,Alabama,19-3039,"Psychologists, All Other",,110,1.3
01,AL,Alabama,19-3051,Urban and Regional Planners,,310,4.0
01,AL,Alabama,19-3091,Anthropologists and Archeologists,,50,13.0
01,AL,Alabama,19-3093,Historians,,50,0.0
01,AL,Alabama,19-3099,"Social Scientists and Related Workers, All Other",,190,0.0
01,AL,Alabama,19-4011,Agricultural and Food Science Technicians,,130,11.6
01,AL,Alabama,19-4021,Biological Technicians,,1020,1.8
01,AL,Alabama,19-4031,Chemical Technicians,,1210,21.5
01,AL,Alabama,19-4041,Geological and Petroleum Technicians,,90,29.5
01,AL,Alabama,19-4051,Nuclear Technicians,,50,17.9
01,AL,Alabama,19-4091,"Environmental Science and Protection Technicians, Including Health",,380,11.3
01,AL,Alabama,19-4092,Forensic Science Technicians,,180,0.9
01,AL,Alabama,19-4093,Forest and Conservation Technicians,,300,4.7
01,AL,Alabama,19-4099,"Life, Physical, and Social Science Technicians, All Other",,390,3.5
01,AL,Alabama,21-0000,Community and Social Service Occupations,major,16320,2.4
01,AL,Alabama,21-1011,Substance Abuse and Behavioral Disorder Counselors,,550,11.5
01,AL,Alabama,21-1012,"Educational, Guidance, School, and Vocational Counselors",,2920,4.2
01,AL,Alabama,21-1013,Marriage and Family Therapists,,250,10.6
01,AL,Alabama,21-1014,Mental Health Counselors,,770,16.3
01,AL,Alabama,21-1015,Rehabilitation Counselors,,840,10.2
01,AL,Alabama,21-1019,"Counselors, All Other",,50,36.4
01,AL,Alabama,21-1021,"Child, Family, and School Social Workers",,3720,3.7
01,AL,Alabama,21-1022,Healthcare Social Workers,,2150,3.9
01,AL,Alabama,21-1023,Mental Health and Substance Abuse Social Workers,,1060,9.0
01,AL,Alabama,21-1029,"Social Workers, All Other",,410,11.0
01,AL,Alabama,21-1091,Health Educators,,320,9.9
01,AL,Alabama,21-1092,Probation Officers and Correctional Treatment Specialists,,880,3.3
01,AL,Alabama,21-1093,Social and Human Service Assistants,,1700,8.0
01,AL,Alabama,21-1798,"Community and Social Service Specialists, All Other*",,240,18.5
