AREA,ST,STATE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE
01,AL,Alabama,00-0000,All Occupations,total,1863620,0.4
01,AL,Alabama,11-0000,Management occupations,major,75100,1.0
01,AL,Alabama,11-1011,Chief executives,,2960,3.5
01,AL,Alabama,11-1021,General and operations managers,,33390,1.4
01,AL,Alabama,11-1031,Legislators,,1350,5.1
01,AL,Alabama,11-2011,Advertising and promotions managers,,160,14.5
01,AL,Alabama,11-2021,Marketing managers,,710,11.9
01,AL,Alabama,11-2022,Sales managers,,2700,3.9
01,AL,Alabama,11-2031,Public relations managers,,460,6.2
01,AL,Alabama,11-3011,Administrative services managers,,1180,4.2
01,AL,Alabama,11-3021,Computer and information systems managers,,2210,4.2
01,AL,Alabama,11-3031,Financial managers,,4360,3.3
01,AL,Alabama,11-3041,Compensation and benefits managers,,200,4.7
01,AL,Alabama,11-3042,Training and development managers,,230,6.3
01,AL,Alabama,11-3049,"Human resources managers, all other",,670,3.8
01,AL,Alabama,11-3051,Industrial production managers,,2130,2.9
01,AL,Alabama,11-3061,Purchasing managers,,860,4.6
01,AL,Alabama,11-3071,"Transportation, storage, and distribution managers",,830,3.8
01,AL,Alabama,11-9021,Construction managers,,2610,6.1
01,AL,Alabama,11-9031,"Education administrators, preschool and child care center/program",,370,15.8
01,AL,Alabama,11-9032,"Education administrators, elementary and secondary school",,3020,4.1
01,AL,Alabama,11-9033,"Education administrators, postsecondary",,2060,5.9
01,AL,Alabama,11-9039,"Education administrators, all other",,350,6.1
01,AL,Alabama,11-9041,Engineering managers,,2420,4.4
01,AL,Alabama,11-9051,Food service managers,,2310,5.8
01,AL,Alabama,11-9061,Funeral directors,,550,13.4
01,AL,Alabama,11-9081,Lodging managers,,350,13.4
01,AL,Alabama,11-9111,Medical and health services managers,,2280,4.4
01,AL,Alabama,11-9121,Natural sciences managers,,150,7.2
01,AL,Alabama,11-9131,Postmasters and mail superintendents,,480,0.0
01,AL,Alabama,11-9141,"Property, real estate, and community association managers",,620,12.8
01,AL,Alabama,11-9151,Social and community service managers,,830,5.4
01,AL,Alabama,11-9199,"Managers, all other",,2300,3.3
01,AL,Alabama,13-0000,Business and financial operations occupations,major,61990,1.1
01,AL,Alabama,13-1011,"Agents and business managers of artists, performers, and athletes",,50,42.6
01,AL,Alabama,13-1021,"Purchasing agents and buyers, farm products",,160,18.4
01,AL,Alabama,13-1022,"Wholesale and retail buyers, except farm products",,1220,8.8
01,AL,Alabama,13-1023,"Purchasing agents, except wholesale, retail, and farm products",,5120,2.1
01,AL,Alabama,13-1031,"Claims adjusters, examiners, and investigators",,3090,4.6
01,AL,Alabama,13-1032,"Insurance appraisers, auto damage",,500,5.6
01,AL,Alabama,13-1041,"Compliance officers, except agriculture, construction, health and safety, and transportation",,1840,2.9
01,AL,Alabama,13-1051,Cost estimators,,2450,6.4
01,AL,Alabama,13-1061,Emergency management specialists,,320,5.0
01,AL,Alabama,13-1071,"Employment, recruitment, and placement specialists",,1900,6.3
01,AL,Alabama,13-1072,"Compensation, benefits, and job analysis specialists",,970,7.4
01,AL,Alabama,13-1073,Training and development specialists,,2230,4.3
01,AL,Alabama,13-1079,"Human resources, training, and labor relations specialists, all other",,3020,4.2
01,AL,Alabama,13-1081,Logisticians,,2870,2.6
01,AL,Alabama,13-1111,Management analysts,,4580,4.6
01,AL,Alabama,13-1121,Meeting and convention planners,,270,15.9
01,AL,Alabama,13-1199,"Business operations specialists, all other",,6260,3.0
01,AL,Alabama,13-2011,Accountants and auditors,,13260,1.9
01,AL,Alabama,13-2021,Appraisers and assessors of real estate,,780,7.8
01,AL,Alabama,13-2031,Budget analysts,,830,4.3
01,AL,Alabama,13-2041,Credit analysts,,550,12.4
01,AL,Alabama,13-2051,Financial analysts,,580,9.5
01,AL,Alabama,13-2052,Personal financial advisors,,1420,8.6
01,AL,Alabama,13-2053,Insurance underwriters,,680,8.5
