AREA,ST,STATE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE
01,AL,Alabama,00-0000,All Occupations,,1912220,0.6
01,AL,Alabama,11-0000,Management occupations,major,77880,1.4
01,AL,Alabama,11-1011,Chief executives,,2700,3.8
01,AL,Alabama,11-1021,General and operations managers,,28780,1.4
01,AL,Alabama,11-1031,Legislators,,2010,15.8
01,AL,Alabama,11-2011,Advertising and promotions managers,,250,12.6
01,AL,Alabama,11-2021,Marketing managers,,1160,8.8
01,AL,Alabama,11-2022,Sales managers,,2980,5.1
01,AL,Alabama,11-2031,Public relations managers,,460,11.2
01,AL,Alabama,11-3011,Administrative services managers,,1510,4.8
01,AL,Alabama,11-3021,Computer and information systems managers,,2240,5.6
01,AL,Alabama,11-3031,Financial managers,,5120,3.5
01,AL,Alabama,11-3041,Compensation and benefits managers,,350,6.3
01,AL,Alabama,11-3042,Training and development managers,,200,8.8
01,AL,Alabama,11-3049,"Human resources managers, all other",,750,3.6
01,AL,Alabama,11-3051,Industrial production managers,,2470,4.7
01,AL,Alabama,11-3061,Purchasing managers,,880,5.9
01,AL,Alabama,11-3071,"Transportation, storage, and distribution managers",,1000,4.1
01,AL,Alabama,11-9011,"Farm, ranch, and other agricultural managers",,30,19.5
01,AL,Alabama,11-9021,Construction managers,,3860,6.2
01,AL,Alabama,11-9031,"Education administrators, preschool and child care center/program",,460,17.6
01,AL,Alabama,11-9032,"Education administrators, elementary and secondary school",,2800,3.1
01,AL,Alabama,11-9033,"Education administrators, postsecondary",,2510,15.4
01,AL,Alabama,11-9039,"Education administrators, all other",,660,10.4
01,AL,Alabama,11-9041,Engineering managers,,2680,8.1
01,AL,Alabama,11-9051,Food service managers,,2150,6.6
01,AL,Alabama,11-9061,Funeral directors,,490,12.9
01,AL,Alabama,11-9081,Lodging managers,,510,10.3
01,AL,Alabama,11-9111,Medical and health services managers,,2650,4.6
01,AL,Alabama,11-9121,Natural sciences managers,,170,9.9
01,AL,Alabama,11-9131,Postmasters and mail superintendents,,530,0.0
01,AL,Alabama,11-9141,"Property, real estate, and community association managers",,1040,11.3
01,AL,Alabama,11-9151,Social and community service managers,,930,10.5
01,AL,Alabama,11-9199,"Managers, all other",,3560,6.3
01,AL,Alabama,13-0000,Business and financial operations occupations,major,61520,2.1
