AREA,ST,STATE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE
01,AL,Alabama,00-0000,All Occupations,,1931970,0.5
01,AL,Alabama,11-0000,Management occupations,major,78560,1.1
01,AL,Alabama,11-1011,Chief executives,,3470,3.2
01,AL,Alabama,11-1021,General and operations managers,,30850,1.4
01,AL,Alabama,11-1031,Legislators,,1950,12.3
01,AL,Alabama,11-2011,Advertising and promotions managers,,210,11.5
01,AL,Alabama,11-2021,Marketing managers,,780,5.9
01,AL,Alabama,11-2022,Sales managers,,2970,5.3
01,AL,Alabama,11-2031,Public relations managers,,400,6.7
01,AL,Alabama,11-3011,Administrative services managers,,1350,4.6
01,AL,Alabama,11-3021,Computer and information systems managers,,2260,6.7
01,AL,Alabama,11-3031,Financial managers,,4940,3.1
01,AL,Alabama,11-3041,Compensation and benefits managers,,250,7.2
01,AL,Alabama,11-3042,Training and development managers,,210,8.5
01,AL,Alabama,11-3049,"Human resources managers, all other",,740,3.6
01,AL,Alabama,11-3051,Industrial production managers,,2410,4.2
01,AL,Alabama,11-3061,Purchasing managers,,910,4.4
01,AL,Alabama,11-3071,"Transportation, storage, and distribution managers",,940,3.9
01,AL,Alabama,11-9021,Construction managers,,3590,4.4
01,AL,Alabama,11-9031,"Education administrators, preschool and child care center/program",,440,13.8
01,AL,Alabama,11-9032,"Education administrators, elementary and secondary school",,2960,2.8
01,AL,Alabama,11-9033,"Education administrators, postsecondary",,1990,5.2
01,AL,Alabama,11-9039,"Education administrators, all other",,440,9.8
01,AL,Alabama,11-9041,Engineering managers,,2800,8.9
01,AL,Alabama,11-9051,Food service managers,,2460,4.0
01,AL,Alabama,11-9061,Funeral directors,,500,12.9
01,AL,Alabama,11-9081,Lodging managers,,480,9.1
01,AL,Alabama,11-9111,Medical and health services managers,,2710,6.5
01,AL,Alabama,11-9121,Natural sciences managers,,160,10.6
01,AL,Alabama,11-9131,Postmasters and mail superintendents,,530,0.0
01,AL,Alabama,11-9141,"Property, real estate, and community association managers",,970,11.4
01,AL,Alabama,11-9151,Social and community service managers,,870,6.8
01,AL,Alabama,11-9199,"Managers, all other",,2990,3.6
01,AL,Alabama,13-0000,Business and financial operations occupations,major,62440,1.8
01,AL,Alabama,13-1011,"Agents and business managers of artists, performers, and athletes",,0,0
01,AL,Alabama,13-1021,"Purchasing agents and buyers, farm products",,130,22.8
01,AL,Alabama,13-1022,"Wholesale and retail buyers, except farm products",,1320,7.7
01,AL,Alabama,13-1023,"Purchasing agents, except wholesale, retail, and farm products",,5080,3.3
01,AL,Alabama,13-1031,"Claims adjusters, examiners, and investigators",,2620,7.6
01,AL,Alabama,13-1032,"Insurance appraisers, auto damage",,70,32.4
01,AL,Alabama,13-1041,"Compliance officers, except agriculture, construction, health and safety, and transportation",,2020,3.7
01,AL,Alabama,13-1051,Cost estimators,,2650,6.5
01,AL,Alabama,13-1061,Emergency management specialists,,270,2.7
01,AL,Alabama,13-1071,"Employment, recruitment, and placement specialists",,1860,8.5
01,AL,Alabama,13-1072,"Compensation, benefits, and job analysis specialists",,890,8.4
01,AL,Alabama,13-1073,Training and development specialists,,2080,5.4
01,AL,Alabama,13-1079,"Human resources, training, and labor relations specialists, all other",,2800,4.8
01,AL,Alabama,13-1081,Logisticians,,2120,3.0
01,AL,Alabama,13-1111,Management analysts,,5140,8.8
01,AL,Alabama,13-1121,Meeting and convention planners,,180,16.6
01,AL,Alabama,13-1199,"Business operations specialists, all other",,7410,3.4
01,AL,Alabama,13-2011,Accountants and auditors,,13320,2.4
01,AL,Alabama,13-2021,Appraisers and assessors of real estate,,820,11.1
01,AL,Alabama,13-2031,Budget analysts,,890,10.5
01,AL,Alabama,13-2041,Credit analysts,,450,7.4
01,AL,Alabama,13-2051,Financial analysts,,810,13.2
01,AL,Alabama,13-2052,Personal financial advisors,,1280,11.4
01,AL,Alabama,13-2053,Insurance underwriters,,930,23.8
01,AL,Alabama,13-2061,Financial examiners,,510,31.4
01,AL,Alabama,13-2071,Loan counselors,,510,16.6
01,AL,Alabama,13-2072,Loan officers,,4170,6.2
01,AL,Alabama,13-2081,"Tax examiners, collectors, and revenue agents",,540,4.1
01,AL,Alabama,13-2082,Tax preparers,,680,27.8
01,AL,Alabama,13-2099,"Financial specialists, all other",,830,11.6
01,AL,Alabama,15-0000,Computer and mathematical occupations,major,33790,3.8
01,AL,Alabama,15-1011,"Computer and information scientists, research",,410,19.4
01,AL,Alabama,15-1021,Computer programmers,,3840,10.3
01,AL,Alabama,15-1031,"Computer software engineers, applications",,3800,12.7
01,AL,Alabama,15-1032,"Computer software engineers, systems software",,4070,13.5
01,AL,Alabama,15-1041,Computer support specialists,,4820,4.6
01,AL,Alabama,15-1051,Computer systems analysts,,7190,8.5
01,AL,Alabama,15-1061,Database administrators,,910,5.3
01,AL,Alabama,15-1071,Network and computer systems administrators,,3750,4.2
01,AL,Alabama,15-1081,Network systems and data communications analysts,,2040,6.6
01,AL,Alabama,15-1099,"Computer specialists, all other",,2180,5.1
01,AL,Alabama,15-2011,Actuaries,,60,11.9
01,AL,Alabama,15-2021,Mathematicians,,40,23.5
01,AL,Alabama,15-2031,Operations research analysts,,500,9.2
01,AL,Alabama,15-2041,Statisticians,,180,13.4
01,AL,Alabama,17-0000,Architecture and engineering occupations,major,42220,3.5
01,AL,Alabama,17-1011,"Architects, except landscape and naval",,1300,14.1
01,AL,Alabama,17-1012,Landscape architects,,90,36.6
01,AL,Alabama,17-1021,Cartographers and photogrammetrists,,360,21.8
01,AL,Alabama,17-1022,Surveyors,,1160,20.7
01,AL,Alabama,17-2011,Aerospace engineers,,4280,19.9
01,AL,Alabama,17-2031,Biomedical engineers,,80,25.0
01,AL,Alabama,17-2041,Chemical engineers,,700,8.0
01,AL,Alabama,17-2051,Civil engineers,,3620,7.4
01,AL,Alabama,17-2061,Computer hardware engineers,,1460,18.6
01,AL,Alabama,17-2071,Electrical engineers,,3090,4.8
01,AL,Alabama,17-2072,"Electronics engineers, except computer",,1560,12.1
01,AL,Alabama,17-2081,Environmental engineers,,790,9.4
01,AL,Alabama,17-2111,"Health and safety engineers, except mining safety engineers and inspectors",,310,9.9
01,AL,Alabama,17-2112,Industrial engineers,,2440,4.8
01,AL,Alabama,17-2121,Marine engineers and naval architects,,0,0
01,AL,Alabama,17-2131,Materials engineers,,410,11.3
01,AL,Alabama,17-2141,Mechanical engineers,,4030,8.3
01,AL,Alabama,17-2151,"Mining and geological engineers, including mining safety engineers",,100,14.9
01,AL,Alabama,17-2171,Petroleum engineers,,50,22.5
01,AL,Alabama,17-2199,"Engineers, all other",,3510,5.8
01,AL,Alabama,17-3011,Architectural and civil drafters,,1660,11.4
01,AL,Alabama,17-3012,Electrical and electronics drafters,,640,10.2
01,AL,Alabama,17-3013,Mechanical drafters,,930,11.1
01,AL,Alabama,17-3019,"Drafters, all other",,560,14.3
01,AL,Alabama,17-3021,Aerospace engineering and operations technicians,,60,27.6
01,AL,Alabama,17-3022,Civil engineering technicians,,2070,9.7
01,AL,Alabama,17-3023,Electrical and electronic engineering technicians,,2050,9.0
01,AL,Alabama,17-3024,Electro-mechanical technicians,,200,16.5
01,AL,Alabama,17-3025,Environmental engineering technicians,,420,22.5
01,AL,Alabama,17-3026,Industrial engineering technicians,,770,8.1
01,AL,Alabama,17-3027,Mechanical engineering technicians,,590,21.0
01,AL,Alabama,17-3029,"Engineering technicians, except drafters, all other",,1250,13.3
01,AL,Alabama,17-3031,Surveying and mapping technicians,,1460,8.6
01,AL,Alabama,19-0000,"Life, physical, and social science occupations",major,10070,3.2
01,AL,Alabama,19-1012,Food scientists and technologists,,70,28.6
01,AL,Alabama,19-1013,Soil and plant scientists,,60,5.5
01,AL,Alabama,19-1022,Microbiologists,,160,0.0
01,AL,Alabama,19-1029,"Biological scientists, all other",,170,4.0
01,AL,Alabama,19-1031,Conservation scientists,,140,22.0
01,AL,Alabama,19-1032,Foresters,,340,9.0
01,AL,Alabama,19-1099,"Life scientists, all other",,0,0
01,AL,Alabama,19-2012,Physicists,,220,8.1
01,AL,Alabama,19-2021,Atmospheric and space scientists,,260,39.6
01,AL,Alabama,19-2031,Chemists,,700,10.1
01,AL,Alabama,19-2041,"Environmental scientists and specialists, including health",,1010,5.4
01,AL,Alabama,19-2042,"Geoscientists, except hydrologists and geographers",,160,24.7
01,AL,Alabama,19-2099,"Physical scientists, all other",,100,0.0
01,AL,Alabama,19-3011,Economists,,40,26.3
01,AL,Alabama,19-3021,Market research analysts,,880,11.6
01,AL,Alabama,19-3022,Survey researchers,,280,19.2
01,AL,Alabama,19-3031,"Clinical, counseling, and school psychologists",,690,20.1
01,AL,Alabama,19-3039,"Psychologists, all other",,80,1.3
01,AL,Alabama,19-3051,Urban and regional planners,,310,6.2
01,AL,Alabama,19-3093,Historians,,60,3.9
01,AL,Alabama,19-3099,"Social scientists and related workers, all other",,150,2.0
01,AL,Alabama,19-4011,Agricultural and food science technicians,,0,0
01,AL,Alabama,19-4021,Biological technicians,,670,3.6
01,AL,Alabama,19-4031,Chemical technicians,,1330,10.7
01,AL,Alabama,19-4041,Geological and petroleum technicians,,0,0
01,AL,Alabama,19-4061,Social science research assistants,,70,18.5
01,AL,Alabama,19-4091,"Environmental science and protection technicians, including health",,210,7.9
01,AL,Alabama,19-4092,Forensic science technicians,,50,6.0
01,AL,Alabama,19-4093,Forest and conservation technicians,,270,10.4
01,AL,Alabama,19-4099,"Life, physical, and social science technicians, all other",,500,2.9
01,AL,Alabama,21-0000,Community and social services occupations,major,18900,2.4
01,AL,Alabama,21-1011,Substance abuse and behavioral disorder counselors,,660,19.3
01,AL,Alabama,21-1012,"Educational, vocational, and school counselors",,2710,3.5
01,AL,Alabama,21-1013,Marriage and family therapists,,140,28.9
01,AL,Alabama,21-1014,Mental health counselors,,900,11.5
01,AL,Alabama,21-1015,Rehabilitation counselors,,810,7.3
01,AL,Alabama,21-1019,"Counselors, all other",,90,18.4
01,AL,Alabama,21-1021,"Child, family, and school social workers",,4360,5.3
01,AL,Alabama,21-1022,Medical and public health social workers,,2050,5.6
01,AL,Alabama,21-1023,Mental health and substance abuse social workers,,650,11.8
01,AL,Alabama,21-1029,"Social workers, all other",,660,10.6
01,AL,Alabama,21-1091,Health educators,,430,14.8
01,AL,Alabama,21-1092,Probation officers and correctional treatment specialists,,850,4.3
01,AL,Alabama,21-1093,Social and human service assistants,,3720,6.2
01,AL,Alabama,21-1099,"Community and social service specialists, all other",,450,16.1
01,AL,Alabama,21-2011,Clergy,,410,7.0
01,AL,Alabama,23-0000,Legal occupations,major,9910,4.0
01,AL,Alabama,23-1011,Lawyers,,5630,4.1
01,AL,Alabama,23-1021,"Administrative law judges, adjudicators, and hearing officers",,100,3.2
01,AL,Alabama,23-1022,"Arbitrators, mediators, and conciliators",,50,32.8
01,AL,Alabama,23-1023,"Judges, magistrate judges, and magistrates",,520,6.2
01,AL,Alabama,23-2011,Paralegals and legal assistants,,2630,8.5
01,AL,Alabama,23-2091,Court reporters,,220,22.7
01,AL,Alabama,23-2092,Law clerks,,100,22.4
01,AL,Alabama,23-2093,"Title examiners, abstractors, and searchers",,480,25.1
01,AL,Alabama,23-2099,"Legal support workers, all other",,190,1.0
01,AL,Alabama,25-0000,"Education, training, and library occupations",major,106980,1.7
01,AL,Alabama,25-1011,"Business teachers, postsecondary",,760,7.2
01,AL,Alabama,25-1021,"Computer science teachers, postsecondary",,430,8.6
01,AL,Alabama,25-1022,"Mathematical science teachers, postsecondary",,680,7.7
01,AL,Alabama,25-1031,"Architecture teachers, postsecondary",,70,5.0
01,AL,Alabama,25-1032,"Engineering teachers, postsecondary",,750,7.8
01,AL,Alabama,25-1042,"Biological science teachers, postsecondary",,2190,1.6
01,AL,Alabama,25-1043,"Forestry and conservation science teachers, postsecondary",,120,27.1
01,AL,Alabama,25-1051,"Atmospheric, earth, marine, and space sciences teachers, postsecondary",,70,0.0
01,AL,Alabama,25-1052,"Chemistry teachers, postsecondary",,240,8.0
01,AL,Alabama,25-1054,"Physics teachers, postsecondary",,190,8.6
01,AL,Alabama,25-1063,"Economics teachers, postsecondary",,190,11.5
01,AL,Alabama,25-1064,"Geography teachers, postsecondary",,30,5.4
01,AL,Alabama,25-1065,"Political science teachers, postsecondary",,120,5.2
01,AL,Alabama,25-1066,"Psychology teachers, postsecondary",,430,6.4
01,AL,Alabama,25-1067,"Sociology teachers, postsecondary",,130,8.4
01,AL,Alabama,25-1069,"Social sciences teachers, postsecondary, all other",,50,25.2
